,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency
134,reckoner_TRA.rep.seq_sim_rl_100_cov_2_1_18.corrected.fastq.gz,run.reckoner.sh,18,6080,1631,4192,31,127,37,18,12098,15977,1184580,8015,57,928,403,87,1,1210048,Reckoner,2,100,0.665930310103,0.923099144904,0.610453484495,0.992157329426,TRA,7.27243877929e-05,0.0114942528736
135,racer_TRA.rep.seq_sim_rl_75_cov_1_1_405000.corrected.fastq.gz,run.racer.sh,18,5440,1674,656,3,248,71,25,8092,11280,592277,930,47,1916,757,145,3,607355,Racer,1,50,0.923832923833,0.80842829499,0.704914004914,0.993751564167,TRA,0.000243679561377,0.0206896551724
136,racer_TRA.rep.seq_sim_rl_50_cov_2_1_405000.corrected.fastq.gz,run.racer.sh,18,10832,8751,4199,5,379,54,16,24220,18752,1184700,5318,50,1958,384,68,0,1211230,Racer,2,50,0.779061071874,0.888973167725,0.681761528874,0.99357842854,TRA,5.61412778746e-05,0.0
137,pollux_TRA.rep.seq_sim_rl_75_cov_4_1_18.corrected.fastq.gz,run.pollux.sh,18,20819,6781,2761,54,1102,847,21,32364,43200,2374984,5007,205,2867,1373,22,3,2427661,Pollux,4,75,0.896135416018,0.910623946037,0.808181384446,0.996097473367,TRA,1.02979781773e-05,0.136363636364
138,bless_TRA.rep.seq_sim_rl_50_cov_8_1_18.corrected.fastq.gz,run.bless.sh,18,31472,36302,28220,3,581,32,7090,96610,55250,4664778,36358,42,2215,145,66882,4921,4830591,Bless,8,50,0.603113265217,0.959034889776,0.577351323029,0.978108324854,TRA,0.0148642267582,0.0735773451751
140,sga_TRA.rep.seq_sim_rl_100_cov_2_1_18.corrected.fastq.gz,run.sga.sh,18,4371,1640,5986,4,95,2,0,12098,12575,1185468,11453,22,276,15,0,0,1209809,Sga,2,100,0.523347760946,0.977382247785,0.511236890295,0.990274497875,TRA,0.0,
141,reckoner_TRA.rep.seq_sim_rl_50_cov_2_1_18.corrected.fastq.gz,run.reckoner.sh,18,10272,8775,4886,31,203,53,21,24220,16570,1185442,7480,65,1198,409,79,5,1211248,Reckoner,2,50,0.688981288981,0.911591571767,0.622162162162,0.992378903325,TRA,6.9349959711e-05,0.0632911392405
142,racer_TRA.rep.seq_sim_rl_75_cov_4_1_405000.corrected.fastq.gz,run.racer.sh,18,12836,7141,11615,4,678,94,27,32368,31890,2375124,16437,92,3564,848,148,3,2428106,Racer,4,50,0.659879570426,0.878463996474,0.568584849049,0.991314618861,TRA,6.218838881e-05,0.0202702702703
143,musket_TRA.rep.seq_sim_rl_100_cov_8_1_18.corrected.fastq.gz,run.musket.sh,18,23271,6387,18084,67,524,1,1,48334,65097,4735589,31675,94,944,1,1,0,4833401,Musket,8,100,0.67268424751,0.985690923957,0.662919026165,0.99323147407,TRA,2.06893655213e-07,0.0
144,coral_TRA.rep.seq_sim_rl_50_cov_4_1_18.corrected.fastq.gz,run.coral.sh,18,11570,17174,18989,14,276,311,24,48334,17410,2367614,31300,18,327,319,16,8,2417012,Coral,4,50,0.35742147403,0.96422241914,0.344159310203,0.986768743453,TRA,9.92961557493e-06,0.5
145,sga_TRA.rep.seq_sim_rl_50_cov_2_1_18.corrected.fastq.gz,run.sga.sh,18,7919,8809,7311,5,169,7,3,24220,13493,1186372,10609,18,491,29,6,0,1211018,Sga,2,50,0.559829059829,0.962891600657,0.538254086798,0.990790392876,TRA,4.95450934668e-06,0.0
146,reckoner_TRA.rep.seq_sim_rl_100_cov_4_1_18.corrected.fastq.gz,run.reckoner.sh,18,8709,3091,12084,40,240,56,23,24220,25265,2371541,23208,86,1623,453,102,3,2422281,Reckoner,4,100,0.521217997648,0.924070077905,0.478390031564,0.989484278848,TRA,4.33475719786e-05,0.0294117647059
148,reckoner_TRA.rep.seq_sim_rl_75_cov_4_1_18.corrected.fastq.gz,run.reckoner.sh,18,11490,7137,13396,29,260,56,18,32368,26013,2377376,22332,72,1576,388,76,5,2427838,Reckoner,4,75,0.538070121005,0.929799478143,0.497445444203,0.989931762193,TRA,3.33630168075e-05,0.0657894736842
149,reckoner_TRA.rep.seq_sim_rl_75_cov_1_1_18.corrected.fastq.gz,run.reckoner.sh,18,4765,1694,1421,15,145,52,15,8092,9705,593198,2499,51,1198,424,74,5,607154,Reckoner,1,75,0.79523107178,0.856802330714,0.662323828253,0.993006658991,TRA,0.000130115259061,0.0675675675676
151,sga_TRA.rep.seq_sim_rl_75_cov_1_1_18.corrected.fastq.gz,run.sga.sh,18,3910,1710,2362,2,104,4,0,8092,8394,594289,3854,12,342,18,0,0,606909,Sga,1,75,0.68533638145,0.958875942426,0.655943827564,0.993036847369,TRA,0.0,
152,sga_TRA.rep.seq_sim_rl_75_cov_4_1_18.corrected.fastq.gz,run.sga.sh,18,8054,7148,16878,11,272,5,1,32368,19881,2378455,28499,42,717,12,1,0,2427607,Sga,4,75,0.41093427036,0.964628820961,0.395866060356,0.987942447027,TRA,4.11928289876e-07,0.0
153,pollux_TRA.rep.seq_sim_rl_100_cov_8_1_18.corrected.fastq.gz,run.pollux.sh,18,33454,6080,5272,115,2222,1189,48,48332,86335,4729651,10119,408,5183,1943,67,6,4833712,Pollux,8,100,0.895089887407,0.923754293235,0.821210110519,0.996334075759,TRA,1.51022650915e-05,0.089552238806
